Imagen,Ángulo,Hu1 Original,Hu2 Original,Hu3 Original,Hu1 Rotado,Hu2 Rotado,Hu3 Rotado
apple-1.png,0,0.0006351545582043868,6.705021702862623e-11,2.7776358910533687e-12,0.0,0.0,0.0
apple-1.png,45,0.0006351545582043868,6.705021702862623e-11,2.7776358910533687e-12,0.06801375362225004,0.00019891731444372874,5.410837528359187e-06
apple-1.png,135,0.0006351545582043868,6.705021702862623e-11,2.7776358910533687e-12,0.06803659763400105,0.00019908718912946925,5.4299979873783934e-06
bat-1.png,0,0.0012625063126482958,6.126380815807611e-07,1.2307680176988275e-09,0.0,0.0,0.0
bat-1.png,45,0.0012625063126482958,6.126380815807611e-07,1.2307680176988275e-09,0.0013401612900286396,8.953067222201269e-07,1.332966766340254e-10
bat-1.png,135,0.0012625063126482958,6.126380815807611e-07,1.2307680176988275e-09,0.001103983415575383,4.536341540252834e-07,6.9361707979406e-11
beetle-1.png,0,0.0014495569285422408,5.573348055113582e-07,5.000932036926323e-10,0.0,0.0,0.0
beetle-1.png,45,0.0014495569285422408,5.573348055113582e-07,5.000932036926323e-10,0.04992986195231884,0.00038785804123024647,3.1593179446324506e-05
beetle-1.png,135,0.0014495569285422408,5.573348055113582e-07,5.000932036926323e-10,0.04821952599340091,0.00045395539864732454,1.906146299767468e-05
bell-1.png,0,0.0007240164211902676,4.743908714656289e-08,1.014768329736588e-10,0.0,0.0,0.0
bell-1.png,45,0.0007240164211902676,4.743908714656289e-08,1.014768329736588e-10,0.06446121826868714,0.00016997597622489874,5.442414621680158e-05
bell-1.png,135,0.0007240164211902676,4.743908714656289e-08,1.014768329736588e-10,0.06445467522590942,0.0001696276930282598,5.4323598319931436e-05
bird-1.png,0,0.0009583327419980652,1.6238575488027435e-07,4.030352336298755e-10,0.0014202206216630655,2.731031794695251e-07,2.2186532154173978e-10
bird-1.png,45,0.0009583327419980652,1.6238575488027435e-07,4.030352336298755e-10,0.08833603903128844,0.0013364112169698718,0.00011741782806731631
bird-1.png,135,0.0009583327419980652,1.6238575488027435e-07,4.030352336298755e-10,0.0013998420539289946,4.635210559309419e-07,7.617201534298634e-11
crown-1.png,0,0.0007327497986190515,2.5494538952703903e-08,1.7926069726988198e-11,0.0,0.0,0.0
crown-1.png,45,0.0007327497986190515,2.5494538952703903e-08,1.7926069726988198e-11,0.0021405437755195704,1.7136282704376167e-06,9.434605415004776e-10
crown-1.png,135,0.0007327497986190515,2.5494538952703903e-08,1.7926069726988198e-11,0.08944257449494,0.0008265924380734021,1.558142800430832e-05
frog-1.png,0,0.0007606523023380161,6.289876160715853e-08,1.1931616879689272e-10,0.0022428291068712996,6.936955091099133e-07,4.273407841114619e-09
frog-1.png,45,0.0007606523023380161,6.289876160715853e-08,1.1931616879689272e-10,0.0015235535393300023,8.747643103194042e-09,1.4787335542504105e-09
frog-1.png,135,0.0007606523023380161,6.289876160715853e-08,1.1931616879689272e-10,0.06348855821349084,0.0001717312489627854,2.183854696918824e-05
Misk-1_1.png,0,0.0007042768552166124,4.037618616640332e-08,3.5358864949327887e-12,0.0037825831498636145,8.728717113553173e-07,8.017449710334875e-09
Misk-1_1.png,45,0.0007042768552166124,4.037618616640332e-08,3.5358864949327887e-12,0.003226101490675535,2.976167737155866e-06,1.2363510866900221e-08
Misk-1_1.png,135,0.0007042768552166124,4.037618616640332e-08,3.5358864949327887e-12,0.0036359215035162975,1.3213685197929666e-06,5.369078815271043e-08
octopus-1.png,0,0.000732741272339341,1.692886482367424e-08,9.16261775579265e-12,0.007346931611250627,3.652187436227652e-05,5.295376101057311e-07
octopus-1.png,45,0.000732741272339341,1.692886482367424e-08,9.16261775579265e-12,0.001608614076135278,3.9852711199920075e-08,4.313738348381397e-12
octopus-1.png,135,0.000732741272339341,1.692886482367424e-08,9.16261775579265e-12,0.0016294205371577908,4.4877030094302324e-08,4.057637880588521e-12
pocket-1.png,0,0.0011978617537733334,1.5509168159316376e-07,1.7417501989538984e-10,0.0019300925391225663,1.2091399841929022e-06,1.1337373257200814e-09
pocket-1.png,45,0.0011978617537733334,1.5509168159316376e-07,1.7417501989538984e-10,0.00167406209733105,5.6858114199060725e-08,6.468576577223903e-10
pocket-1.png,135,0.0011978617537733334,1.5509168159316376e-07,1.7417501989538984e-10,0.0014836944423417906,2.111353309149477e-07,7.705445329881068e-10
